time_ms,value
2266,178
2366,179
2466,179
2566,179
2666,178
2766,179
2866,179
2966,179
3066,178
3166,179
3266,178
3366,179
3466,179
3566,179
3666,178
3766,178
3866,179
3966,179
4066,179
4166,179
4266,179
4366,179
4466,178
4566,179
4666,179
4766,178
4866,178
4966,179
5066,178
5166,179
5266,179
5366,179
5466,178
5566,179
5666,178
5766,179
5866,179
5966,178
6066,179
6166,179
6266,179
6366,179
6466,178
6566,178
6666,179
6766,178
6866,179
6966,179
7066,179
7166,178
7266,178
7366,178
7466,178
7566,178
7666,178
7766,179
7866,178
7966,178
8066,179
8166,179
8266,179
8366,179
8466,178
8566,178
8666,179
8766,179
8866,179
8966,178
9066,178
9166,178
9266,179
9366,178
9466,179
9566,178
9666,178
9766,179
9866,179
9966,179
10066,178
10166,179
10266,178
10366,179
10466,178
10566,178
10666,179
10766,179
10866,178
10966,179
11066,178
11166,178
11266,179
11366,178
11466,178
11566,179
11666,178
11766,179
11866,179
11966,179
12066,178
12166,178
12266,178
12366,178
12466,178
12566,179
12666,178
12766,178
12866,179
12966,178
13066,179
13166,179
13266,179
13366,178
13466,178
13566,179
13666,179
13766,179
13866,179
13966,178
14066,179
14166,178
14266,178
14366,178
14466,179
14566,179
14666,179
14766,178
14866,179
14966,179
15066,179
15166,178
15266,178
15366,179
15466,178
15566,178
15666,178
15766,179
15866,179
15966,179
16066,178
16166,179
16266,179
16366,178
16466,179
16566,178
16666,178
16766,179
16866,179
16966,178
17066,179
17166,179
17266,179
17366,179
17466,178
17566,178
17666,178
17766,179
17866,179
17966,179
18066,178
18166,179
18266,179
18366,179
18466,179
18566,179
18666,179
18766,179
18866,178
18966,179
19066,179
19166,178
19266,178
19366,179
19466,178
19566,178
19666,178
19766,179
19866,179
19966,178
20066,178
20166,179
20266,179
20366,178
20466,179
20566,178
20666,179
20766,178
20866,179
20966,179
21066,178
21166,179
21266,179
21366,179
21466,179
21566,179
21666,179
21766,179
21866,178
21966,179
22066,179
22166,178
22266,179
22366,179
22466,179
22566,179
22666,178
22766,178
22866,178
22966,179
23066,179
23166,179
23266,179
23366,178
23466,179
23566,178
23666,179
23766,178
23866,179
23966,178
24066,179
24166,180
24266,178
24366,179
24466,179
24566,179
24666,179
24766,179
24866,179
24966,178
25066,178
25166,178
25266,179
25366,178
25466,178
25566,178
25666,179
25766,179
25866,178
25966,178
26066,178
26166,179
26266,179
26366,178
26466,178
26566,179
26666,179
26766,179
26866,179
26966,179
27066,179
27166,178
27266,178
27366,178
27466,179
27566,179
27666,178
27766,178
27866,179
27966,179
28066,179
28166,179
28266,178
28366,179
28466,178
28566,178
28666,178
28766,178
28866,179
28966,178
29066,179
29166,179
29266,179
29366,178
29466,178
29566,179
29666,178
29766,179
29866,178
29966,178
30066,179
30166,178
30266,179
30366,178
30466,179
30566,179
30666,179
30766,178
30866,178
30966,178
31066,179
31166,179
31266,179
31366,179
31466,179
31566,179
31666,179
31766,179
31866,178
31966,178
32066,179
32166,178
32266,179
32366,179
32466,178
32566,179
32666,179
32766,179
32866,179
32966,178
33066,179
33166,179
33266,179
33366,180
33466,179
33566,179
33666,179
33766,178
33866,179
33966,179
34066,178
34166,178
34266,179
34366,179
34466,179
34566,178
34666,179
34766,179
34866,179
34966,179
35066,179
35166,179
35266,179
35366,178
35466,179
35566,179
35666,178
35766,179
35866,178
35966,179
36066,179
36166,178
36266,179
36366,179
36466,178
36566,179
36666,179
36766,179
36866,178
36966,179
37066,178
37166,178
37266,178
37366,179
37466,178
37566,178
37666,178
37766,179
37866,178
37966,178
38066,179
38166,178
38266,179
38366,178
38466,179
38566,177
38666,178
38766,178
38866,179
38966,179
39066,179
39166,178
39266,179
39366,178
39466,178
39566,178
2290,179
2390,178
2490,178
2590,179
2690,179
2790,178
2890,179
2990,178
3090,179
3190,178
3290,179
3390,179
3490,179
3590,178
3690,179
3790,178
3890,179
3990,179
4090,178
4190,178
4290,179
4390,179
4490,179
4590,179
4690,179
4790,178
4890,179
4990,179
5090,179
5190,179
5290,179
5390,179
5490,179
5590,179
5690,179
5790,179
5890,179
5990,178
6090,179
6190,179
6290,179
6390,178
6490,179
6590,178
6690,179
6790,179
6890,179
6990,179
